IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy
3304.04827024539,3640.287172919374,3367.613777755793,60
3759.235157097358,3770.422656153101,2915.367676070973,68
3596.7657163740937,3439.169099246062,3106.306095284344,41
3729.018102687931,4017.179691713346,3254.7330466061344,41
3898.4853243765515,3147.02150910145,3176.674871318814,41
3651.9356824148676,4004.040303724357,3066.544266028035,60
2929.7493764808814,3695.9400234655623,2731.8906173368932,60
3685.8723575738027,3375.76187021111,3098.228227809861,68
3538.1056918010477,3790.4451659947913,2817.4731896095373,60
3866.992159535012,3909.3564902119783,2905.7645861065,60
3469.7042940832534,3323.170194226717,2705.658948026168,60
3679.089788878432,3399.7651160619794,2964.673917237756,41
4015.5492483496164,3717.4055786078047,3084.8104245348836,41
3656.5666108171754,3513.080450148921,3065.0428295667402,41
3764.7252237019316,3654.163048907401,3058.412782727647,41
3749.6535062126527,3486.3110055643247,3117.316595124242,41
3905.493177126647,3827.0197468786296,2941.0468577311335,41
3368.613029348096,3743.873740606563,2926.524941609686,41
3618.3114261951787,3477.0034967632323,2783.159971363833,41
3685.2567324662577,3995.2210693732795,3162.0301133106614,68
3839.3328623203115,3557.5690251091896,2889.190133639018,41
3485.8441472849418,3494.3041482944036,2939.1926605185436,68
3330.1652611779487,3477.9270026386394,3272.7173765093603,60
3555.2680085561146,3835.560320023247,3098.562986187815,41
3468.4765526318856,3871.742520664325,2901.3156415793874,41
3777.1836034896387,3631.2380885635857,2921.3875488759404,41
3620.132312548164,3589.531855025449,2738.4614441194526,41
3436.371064131217,3604.6217910155797,3086.54862468761,41
3878.8240340693037,3495.0614482636474,2810.3247150627176,41
3530.081210587441,3411.885474986538,2912.1218807669975,41
3825.4201735123142,3709.2892686284154,3054.1203648977857,41
3641.169344828186,3849.068728805057,3082.761794430142,41
4010.162902713647,3645.2773756392976,2777.798205026026,41
3784.7813505842123,3791.2918527241986,2937.468626846936,41
3561.3271898837515,3740.5071023764763,3181.1983103267585,60
3649.3909563796883,3802.3695486487964,2886.927738145534,41
3325.324907112366,3493.833991949992,3300.4975976851397,41
3269.9552351315715,3995.6878300820254,2815.7219851329196,34
3371.2038294863146,3562.2850779422365,2921.3006982664633,34
3609.5681054961383,3567.9656321388693,2590.5752810386734,60
3177.04321011981,3343.829746739068,2873.6273008917037,60
3490.7164978544465,3750.4524874046797,2891.2896885704104,41
3778.0929834203266,3573.3346921490706,3151.707641448859,41
4049.8458226009507,3415.1821020083735,3064.8374194825224,41
3269.7616424257926,3636.2974260158735,3090.4075378157822,34
4148.711782286769,4120.745535765017,2863.6964779820732,60
4023.7438636793727,3779.1826539722433,3225.655306232354,41
3375.6532760181917,3676.415630716339,3287.876169708769,41
3773.694642456588,3859.075998330705,2962.2495324998777,41
3446.964211430999,3926.354591876936,3210.8774307507256,60
4225.3741527224,3324.0334439387616,2708.585690134909,41
3647.0181571251524,3880.206614304412,2715.5567231692053,41
3733.658884211081,3754.784541887785,2804.375503696347,41
3613.7528834418695,4161.275920484761,2990.8600665537624,41
3779.653540690177,3663.2850213469524,3048.460270065375,41
3742.050486755859,3417.5759603927277,2660.6308707850517,41
3644.621345221671,4116.6739489967895,2798.779634455849,60
3221.559155803767,3719.466858428336,3276.639012688487,60
3590.8811881808574,3235.539699664024,2571.145709708964,60
3707.213940341873,3801.8806915880123,2637.35728404713,60
3361.90099757138,3606.7990273608198,3127.974700606393,34
3424.821820036907,3575.8124209024704,2917.895993087457,34
3757.7009151723937,3695.274740151405,2997.6015469079684,41
3586.7370123204146,3917.470986846234,2863.09797646253,60
3273.7681398724044,3824.138422807496,3052.010279331239,60
3218.0884920821236,3365.6382357722346,3121.1221270821916,60
3958.6488130377443,3787.862476031993,2984.4327017701844,41
3794.181822523556,3814.7090687793693,2518.8005447183073,41
3753.577681670699,3722.0097621174004,2695.743592127051,41
3562.3898276708705,3669.345968598828,3214.378107440945,41
3441.6497821061093,3607.5368380378513,2733.254824547106,41
3861.481756951575,3589.577830315731,3276.8796245197627,41
3447.9843794225526,3887.9684623204666,3128.6966366912266,41
3335.352616546053,3106.009011115956,3368.8448836541556,41
3390.4062140566652,3772.4343872593518,2804.5238223749843,41
3382.630740863319,3630.861679213437,2683.430517760236,60
3393.3965525256854,3295.801513055737,3114.3974928310404,41
3570.9438629572837,3571.6200760216084,3167.3474520902873,41
3847.2734403187173,3783.8175888903575,3006.402210661167,41
3779.08319191108,3547.2563506999895,3079.2150804102116,41
3833.9369345979603,3321.0848633748483,2997.2763954573556,41
3605.3605680481905,3775.4683515449465,3080.417279968233,41
3720.833398767013,3519.285201711307,2992.9863890365095,60
3524.4124440206933,3401.8755961512766,2777.3621463719346,41
3794.2135727793598,3660.8272203945007,2882.7087700904135,41
4010.682116728245,3828.2690982819877,2931.972516628873,41
3761.2635864447143,3901.731524048592,3034.995114788318,41
3756.464077446932,3575.3434625207906,2608.7665819297367,41
4060.970501300654,3690.783309521291,3153.8289994316765,41
3624.124524211971,3801.2582124658766,2863.5509620833445,41
3787.566439875876,4111.415300418104,3049.7366051595172,41
3792.3404132617734,3844.9134604519745,2871.9003714298256,41
3800.3704132467506,3276.9448068687234,3035.4787661875707,41
3535.88281110003,3901.6528915812987,2904.2939962273417,41
3726.2226398829926,3714.043889240415,3329.498977560115,41
3768.5549012988795,3407.3185657652066,2865.0638315108595,41
4005.9327923083356,3437.224211411124,2786.112572297216,41
3672.5944125207384,4068.298704128845,3141.747832581907,41
3608.1147983212322,3819.505830237278,3238.8682663175005,41
3205.9611776759375,3955.039536868802,2956.649875921882,68
3861.254720942118,3394.619340259543,2696.573723273789,41
3530.1854266766213,3949.6773249647918,2788.9541128139276,41
3527.947784025144,3357.9076888623663,2715.263948006131,41
3305.736644978185,3829.4298253468105,3148.286727508087,41
3634.8005156184227,3557.441322823176,3064.083610390922,41
3654.5662669524672,4029.7481770716076,3389.0953446181957,41
4047.635112433284,3647.1832417240394,3305.6256686541024,41
3823.834723559162,3712.398387268077,2919.6935315254145,41
3489.353264171359,3696.474631168774,3086.699042939287,41
3780.6950915345587,3691.4926319662954,3392.365648798238,41
3835.023634711088,3460.120992443308,2881.5750412203643,41
3615.7339598061103,3886.5525352034656,2820.4500416568803,68
3658.8949069245946,3474.619564911779,2878.192203337023,68
3675.7609597084793,3332.6201376377658,3023.7157899975014,41
3932.8262434683215,3528.5296808671615,2942.8521074445234,68
3807.831596177458,3946.862975806213,2767.3502322737218,68
3561.0556613955637,3580.82193902092,2690.9056861753847,41
3830.0729273233824,3545.7562727497757,3116.915591737212,41
3728.3569025053844,3420.817094125036,2742.408323312958,41
4122.763738710344,3554.675999995679,2778.4475403419256,41
3721.8462670247627,3718.6024926721557,2883.0103572764046,41
3521.084277198711,3283.878809623221,2688.949165596126,41
4106.299358604808,3762.4113943745137,2897.369610302218,41
3634.4374696771283,3701.339895541511,3212.8637521704395,41
3788.1011941523407,3891.194617450411,3199.914092282826,41
3845.2088460427403,4079.445031011853,3038.7755705799864,41
3588.3306941113233,3370.3343800051343,2921.481646116295,41
4007.777329895093,3699.8365223753276,3059.408702306951,41
3448.528952651359,3677.799958919912,2872.619560584115,41
3277.6264131158987,3211.269866097642,2821.922486832791,41
3632.5974851878477,3129.813560757862,3023.007938822076,68
3596.453877788755,3190.7066400911986,2909.267301153084,41
3719.8138561474457,3263.20977825919,3082.810276927931,68
3626.599613552867,4008.1366825694695,3223.8837351230504,60
3469.2726856154814,4099.330973220102,3015.9376936984013,68
3286.2455166031455,3915.1612901542567,2954.6848820253203,60
4140.817738085459,3612.795304119277,3168.6333467972136,41
3671.8026324867524,3841.241779419386,2898.929239621274,41
3696.8478988110683,3928.7431314055084,3136.8098200176996,41
3371.1132362812823,3793.6523842453485,2948.3670715628386,41
