IpwEpsGreedy,PolicyScreeningEpsGreedy,RandomAction,optimal
92.98822867685497,-27.105438523544606,-43.79454862912458,-44.41280366164804
38.97671437548245,-80.89330980757171,71.97937913897373,169.718538145967
-42.11976071981782,-69.99813615970054,-20.1166461032855,173.31287346456048
7.573149125702621,-34.538240228882096,-167.27770520373755,-116.78708953436441
17.197492805047684,-87.56525105423833,-4.510932999539957,60.42417310814908
181.29027445587644,54.5761697630151,-86.72475024496929,78.05962981253033
83.51555807879551,87.39212953192504,49.589303810496446,163.35791722935687
77.45696533110255,21.910240915654022,-48.47078860490108,78.37832003377127
91.1325405794725,117.6789542500735,-7.753446214415822,53.546569765109965
73.24996655206978,-99.04733651087128,5.9376999500607965,35.621348844328345
