IpwEpsGreedy,PolicyScreeningEpsGreedy,non_dominated_policies
130.51054908346134,182.1249630075848,[2]
125.07493698684809,152.27639616186406,[2]
103.3572965312789,130.4785594015291,[2]
103.29471062376072,152.26399997817038,[2]
127.79814290630159,78.83168458332007,[2]
51.64735474072185,146.81242971257174,[2]
152.24151136248292,125.04190861014578,[2]
48.99544719365366,155.02912768927123,[2]
103.3836656408869,206.65483875365018,[2]
95.28843563186507,182.15002784190236,[2]
48.929072936911595,179.41200668482645,[2]
54.36563657110978,152.23522421586662,[2]
24.468313937086467,103.316059804476,[2]
54.36563903496724,127.7662726436381,[2]
149.64832911691042,125.06047007404399,[2]
48.966570918742065,125.06970715612597,[2]
103.3275327361547,54.365636679239586,[2]
76.16009464612107,149.50572861930888,[2]
152.23587304234727,130.4779029436267,[2]
48.947057959281956,179.40807753411323,[2]
127.76575001819515,182.2082663327853,[2]
125.15676853958487,182.22328925311655,[2]
81.55274592026451,106.01304657340489,[2]
149.50951062581385,176.83993355025427,[2]
49.01104606970804,182.19855546360628,[2]
103.30615338154894,127.76047374612871,[2]
48.929072949819755,154.94517994246453,[2]
76.17207476479435,78.94545176562616,[2]
70.70807616119833,125.11261025007501,[2]
51.64745108962535,65.23889215495059,[2]
76.11416838037707,179.406600678297,[2]
73.44676567960002,130.47752796585684,[2]
48.93073826313872,149.5882019019481,[2]
76.1158414079288,103.29470953520322,[2]
51.67291845682053,176.69954500575577,[2]
103.29477488089071,179.43492040941592,[2]
27.18281828459045,157.66034605086418,[2]
