IpwEpsGreedy,PolicyScreeningEpsGreedy,non_dominated_policies
76.19077687147904,155.00543984431692,"[0, 2, 5, 6, 7, 9, 11, 12, 13, 16, 17, 18, 19]"
95.1438166199523,127.76150930810184,"[0, 5, 6, 9, 11, 16, 17, 18, 19]"
48.95518303851762,149.8655054430793,"[0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19]"
182.1248954797005,130.5965032670303,"[0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19]"
209.30770759111104,179.40853476342153,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
81.54923144065279,233.79726166629965,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
176.83646663325135,103.45539551730026,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
179.49780959183445,233.77513520183828,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
149.51422989554513,182.12489624381843,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
127.7611598869692,155.02442491181466,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
125.05764262165044,203.91190768099594,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
233.77254206261438,157.77884701023686,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
176.73232686063776,127.7930103611784,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
152.2244438632896,182.12488251073827,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
154.94341834952056,184.84324388932077,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
176.73728003706063,182.27367885705956,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
179.40687657021311,130.58626379008854,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
