IpwEpsGreedy,RandomAction
2724.3979042981696,3153.1602659142677
3251.8504213648957,2997.6366983779453
3388.1297505703305,2698.8115380361883
3135.3942701625892,3103.8004783931196
3228.130136019369,2809.413736996136
3362.875516540395,2718.074894068337
3625.4050173526384,3244.055161005247
3747.272305882549,2927.0019678440563
3475.04602660958,2953.456904785638
3243.7902687970436,2809.0344170472817
3753.35407303764,3307.6201239872603
3605.504834008595,2874.4903623633945
3398.7018507025473,3343.733233777953
3385.834698870878,2783.0329089920897
3508.535029704899,2949.43238508367
3234.2361952045185,3206.556440187703
3464.119137367013,2872.802091023127
3785.321917159734,2852.4574698514525
3418.385853135216,2942.1118513441374
3763.0443687014513,2930.921170091884
3835.793518229567,3106.939877019163
3424.448405392177,2947.4939573426905
3415.8407445409125,2811.8632529585802
3728.405526365754,3034.5568844577274
3551.233680003027,2765.2641247409697
3511.0487134155856,2774.917140509431
3665.5162306554425,3234.123220262863
3150.6125631978866,2921.870274970997
3333.893720649962,3057.3554573912147
3276.4400296967087,3125.308245367535
3241.1954931436685,2777.0410764426965
3849.7724722422518,2646.1863517130173
3426.0920694453425,2930.8988754180077
3355.176038193992,3030.181436445142
3616.3205232580913,3024.2613455736687
3687.5942618315926,2964.5392387651086
3409.0870404147195,2918.5617981229498
3204.498239179524,3203.034013682378
3602.40199394325,3126.017087421009
3936.5692191163125,2999.587358390779
3457.5497396966807,2825.680500845708
3687.1922606481603,3001.2737578036595
3311.2926536166874,2805.85428691552
3523.9259168462036,3205.862104962591
3233.5340585998665,2962.3437092871304
3425.287135818,3258.852806975413
4029.8217163575264,3356.453340525676
3502.4245840159683,3075.8418605489464
3598.7543320951922,2585.3311812439633
3225.9591556316154,3029.408785391806
