IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,optimal_policy,optimal_outcome_policy
3811.1130332336456,3532.1645097823102,2741.4182931255386,75,4377.570107906232,0,0
3825.746972165443,3541.7536448045175,2937.620791533181,75,4208.019652260795,0,0
3120.9544157432615,3295.20599044131,2440.3398859563135,75,4295.199450611958,0,0
3803.072003659815,3496.653585858495,2903.632094404613,58,4445.993605303433,0,0
3621.931559516161,3222.11280511247,2957.9259917906297,75,4200.937720604318,0,0
3585.103524260339,3583.363508816501,3100.5918470599313,58,4193.452663511249,0,0
3509.493636384607,3733.7945224030905,2947.9437548169885,58,4294.9754615788,0,0
3043.0589727487504,3458.909742922539,2895.839810754098,58,4142.255944055891,0,0
3972.608868399157,3297.427702572938,2721.8652887599696,58,4020.3673845747035,0,0
3034.3357954678568,3443.3985446006377,2688.7811505157424,85,4303.707186234158,0,0
3365.1048153258716,3431.897664612006,2766.448008521294,75,4302.842969790494,0,0
3117.2828492652297,3412.884176503078,3284.82277313875,75,4435.722883498192,0,0
3291.163661504788,3040.9106264282555,3016.6075318448547,58,4148.357579935713,0,0
3499.2835608036185,3428.81233640618,3258.6289482451252,58,4337.280036818973,0,0
3582.470454414435,3851.013353029766,2565.1012747570126,20,4305.307292839545,0,0
3293.354397439004,3543.0923526118136,2692.144470169986,75,4314.048755745807,0,0
3057.5979088350305,3243.2209342639644,3268.583334911058,20,4310.055869529933,0,0
3512.1056590894823,3358.8405915899903,3450.587881141286,58,4325.683849969835,0,0
3339.6865885445645,3323.3197291821493,2926.294616930406,58,4091.30478933973,0,0
4036.4547699888494,3173.569075752407,2758.249119552022,58,4105.920847321855,0,0
3619.7227718555464,3413.1911631111575,2877.733231902614,58,4469.44535244074,0,0
3432.6835490575722,3569.287838481833,3234.7263804248296,20,4195.521351452989,0,0
3497.307600513421,2937.6470082556657,2804.2553176869324,20,3977.5276411554332,0,0
3417.7517658669904,3310.374863000604,3005.1192619352655,75,4272.692936996315,0,0
3634.6355611372483,3771.3492673559363,2976.8320382663737,75,4640.288765572596,0,0
3407.46639444047,3310.672809580918,2754.598100787195,75,4375.958875480573,0,0
3657.7016671323095,3685.272749944417,3069.13022713372,75,4252.749943733221,0,0
3696.479373137036,3315.754787070852,2989.140955773825,75,4207.613269047746,0,0
3506.1634657498043,3802.8364665039308,2984.3553281441723,12,4490.180398004017,0,0
3633.0983197111286,3794.0441114007886,3123.3241233415815,12,4470.457489973845,0,0
3030.2590864012022,3862.9066587944653,3342.9166583601354,12,4429.304882831424,0,0
3207.790419549887,3409.670371948419,2934.6520263873504,12,4153.320479988421,0,0
3619.625134083628,3558.9938991938798,2894.1609143630476,20,4208.097918557704,0,0
3365.728935655258,3480.406934690195,2862.556075234989,20,4072.8363096370585,0,0
3704.9946913653716,3307.827983005549,2856.9161677626144,85,4301.362813938382,0,0
3182.837872316309,3519.0200223919724,3171.120859609953,12,4231.856910262214,0,0
3527.6156127545737,3497.3986278487614,2883.2431144309858,75,4007.1674473182256,0,0
3491.0562285100723,3105.0235833099296,3198.4968692081934,12,4019.3955227329593,0,0
3630.938906192729,3157.1113320057125,2871.0533233442047,75,4209.161720495509,0,0
3449.743474455384,3845.9077187257612,2820.9913143625745,58,4385.88400728257,0,0
3827.8317857391935,3361.5846530581703,2626.7763552400324,12,4037.398912071212,0,0
3564.0710418382946,3623.803624208466,2529.2734508982485,58,4040.0485216355114,0,0
3535.88202626197,3456.7503762339948,3037.8202369728315,12,4096.876486986242,0,0
3528.507708736544,3155.4621108228157,2915.069378135926,58,4095.0276423187397,0,0
3843.397039031304,3108.9245764633406,2709.6199425101977,12,4188.040963664662,0,0
3531.8834018673215,3650.674796440284,3294.2876240806427,75,3983.4689548003525,0,0
3381.5556447799263,3644.4752847262052,3341.8828660729027,75,4418.341935443209,0,0
3848.8730306438697,3473.3309312137203,3502.3456748694243,75,4330.252415125193,0,0
3044.2596892975516,3446.7280673977757,3151.351738951056,75,4204.608450918217,0,0
3209.761078906886,3860.6741037089846,2971.252039534539,75,4067.0623902392,0,0
3380.2512434888627,3763.7668662341425,2895.9196044816135,12,4129.051752687142,0,0
3531.805383528751,3016.473090728067,2741.7951761750473,20,4235.811421847948,0,0
3785.5944075908114,3450.5930945425253,2890.6747886298026,75,3985.268468137551,0,0
3162.609482677686,3264.026043607654,3054.665261946359,75,4103.684060770188,0,0
3265.833403345758,3359.343785712359,3056.203756697263,20,4163.959592754716,0,0
3310.3320814691274,3465.549758785306,2738.8620562977558,20,4203.0872683137095,0,0
3561.000857571465,3476.4839824506143,2746.635744269149,20,4211.481057150023,0,0
3613.49816290532,3813.135448321165,3341.830624718359,75,4324.921517461025,0,0
3279.7380952652197,3944.9060930231212,2763.480688667672,20,4423.073789518492,0,0
3202.5695855445374,3627.548845280563,3316.508637778116,20,4106.564054548094,0,0
3446.0967687894886,3761.1409499021293,2963.6148092464628,20,4218.100662994608,0,0
3671.157063485445,3678.6672755041764,2477.4824962399853,20,4395.848208228075,0,0
3242.927564642741,3760.104683303419,2843.3280152547586,75,4295.402406607662,0,0
3141.3244451540195,3693.2958906192202,3134.955879835017,75,4323.407064830759,0,0
3712.2841332020653,3498.234376077657,3066.789346703695,58,4233.223403496947,0,0
3502.7155354293923,3569.305662201983,2811.435149604414,30,4144.48149729118,0,0
3383.7371026955952,3530.843983215288,2677.5153111184823,30,4211.407927416494,0,0
3542.3864721104474,3402.253576813501,2844.286763116767,58,4063.034482770937,0,0
3479.8261428557244,3660.793753974522,3252.1415211404965,20,4243.421188076573,0,0
3555.100419427937,3697.338325707643,2900.9975982282035,20,4328.900772507656,0,0
3376.123299226328,3750.676360479915,2963.38937564398,20,4202.607106541992,0,0
3421.208178892883,3649.521906130532,2758.895016873025,75,4412.444893054532,0,0
3475.2041375464005,3766.499829314851,2899.0894214925424,75,4014.3181640521634,0,0
3701.1005285585225,3074.656081352953,2756.028100156863,58,4102.3733365188355,0,0
3452.3311299931374,3739.296817604923,2648.321875657916,58,4366.446480367782,0,0
