IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,PolicyScreeningEpsGreedy,non_dominated
149.50552300326575,157.66091046108502,133.19687949324077,4,228.33628972471115,146.8036143097063,"[9, 14, 15, 17, 19]"
100.63789614551789,154.9479613794982,103.295602356654,4,258.2629666569003,103.2951872729436,"[1, 2, 3, 5, 10, 11, 12, 13, 14, 17]"
100.57667054953765,176.7216087071243,176.71070099738495,17,179.40723735183968,152.22439590915957,"[1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
206.70673024697558,206.94920531845142,182.3933811848681,14,179.40880032700693,179.40880032700693,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18]"
182.17948551926602,76.14590005367796,100.71081655454317,14,160.3786278797648,76.19325019095092,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
103.29543662105485,116.89616222269188,171.25247969229352,14,228.3362494576185,76.11189466512204,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
122.38798880918995,122.48601560884148,70.75277739112818,4,258.2371564848227,154.94206422216558,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
182.27907834791637,154.94309787059578,176.69213960058462,14,209.32709224253867,78.85756217319963,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
206.58941959969832,179.5590397258283,176.76910702551464,14,231.05415237072674,127.93386315906159,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
182.15536718093023,182.12489366016666,157.8408818833096,14,233.77318761879266,182.1250833781748,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
155.08863881115298,206.60631794351943,209.40182459379713,4,206.90310216921068,155.22494560055299,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17]"
154.95150087664013,176.68859981922185,154.94206422216558,14,258.2500376039616,127.77230962703996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17]"
157.6604474571337,78.83017306479118,103.32503586697271,14,152.22410003199238,97.91383214480489,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
176.7373877508401,179.40732402957843,103.29470948144372,4,203.93690336476905,125.0419105816874,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
258.2750607626005,127.75930676730309,103.33744517742615,4,209.5314915297791,179.8125240659681,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
176.77614278373264,54.39800937421944,27.18281828459045,4,233.81465503000865,157.67185385554401,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
149.51400128097825,103.29521753387806,100.58102078359099,4,233.83311921499325,152.2849393016815,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
122.32300373919944,176.7558687516733,182.1924953360052,4,209.57841837333578,155.1638361026526,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
125.26179671133355,152.36314412559847,125.14846834598839,4,182.12493356601718,130.4776309589681,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
127.78644895131919,51.695586023766325,130.5449270845777,4,206.63089759679997,97.85865630742694,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
149.55988049807007,122.46369322359357,152.48015858575712,4,203.91476039464376,144.08361314197074,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
149.61163083280357,70.675327546391,182.1797461902615,4,233.77240190047792,127.75959343486498,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
127.75941583001735,100.64798518845839,125.04750976022284,4,203.90602423320894,76.11189119685326,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
146.825775419029,201.15285544980557,73.39360936839422,8,204.11882120218291,97.97367654109715,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
