IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy,PolicyScreeningEpsGreedy,non-dominated
37.27465874754342,24.841334751524993,34.63448198267847,0,19.266894147098174,[99]
-3.061037664557613,46.72859768834339,33.28180382655021,2,64.22428497961751,[99]
59.39718718570868,59.22878302884688,44.52170646554023,19,25.107255515934483,"[93, 96, 97, 98, 99]"
43.28216386509977,29.799100762777904,23.464405304514827,51,50.385159000712434,"[92, 93, 95, 96, 97, 98, 99]"
58.00286186488664,32.38172124394199,37.51170118774064,59,15.282035579675682,"[89, 90, 92, 93, 95, 96, 97, 98, 99]"
2.717227259681518,2.4946753491444595,19.279516118946717,81,35.4567239566638,"[77, 78, 79, 80, 81, 83, 84, 86, 87, 89, 90, 91, 92, 93, 95, 96, 97, 98, 99]"
62.37596814820674,19.192828253830882,63.43324402538863,20,60.70988906956407,"[77, 78, 79, 80, 81, 83, 84, 86, 87, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99]"
69.18298673715567,50.45176965748211,38.08988077317829,20,32.423042028351304,"[76, 77, 78, 79, 80, 81, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99]"
16.416628037138302,46.90457481137453,22.834590898895428,20,22.380564556652264,"[76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99]"
4.132309376327345,56.55410925324501,15.624032995875291,92,9.15030951002191,"[76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99]"
25.371913449203777,74.02228286995864,40.16472309615844,20,55.43364738952,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 99]"
