IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy,PolicyScreeningEpsGreedy
42.86644487894134,6.504005392942338,33.573988455593614,0,93.93479622488597
28.09162124842095,73.34791467375841,111.0534158391653,44,58.744400871813475
33.6677531417684,30.1262348724405,32.417151330870695,35,69.21648629598002
53.71639472903759,61.920622453429644,20.485478202118795,6,91.7813703732596
42.17148392317476,39.55243656487715,53.77166084307828,76,40.830445277617734
85.35104111286478,73.4887858462692,92.60158222545624,96,35.714329352073065
61.234473633132026,152.56598553794146,54.25804667704904,30,44.23472231586989
48.671414860417116,50.98699867120163,106.11822555749268,30,35.67380327776462
84.70627412509272,27.781314148781505,51.90757774459663,30,104.25983972122751
99.90310189068495,33.203353836203554,50.82490499416746,30,40.692470291928004
82.91071583366963,77.00716862899654,73.29191055882018,30,51.88920496590529
46.48838760752109,143.40686356330795,134.10897041896996,30,64.69050390381928
77.9139082776826,102.77531662912662,113.48923983929397,62,100.03565546860278
109.17110536487664,12.704419610807003,113.89360335900675,74,117.06573091876379
76.7176720254682,40.135113120054655,47.128493931974106,74,53.63628357210791
53.57235334391559,100.30996872973033,108.82556264874577,74,76.12795186928291
88.54240721362012,73.89206746029585,25.809892152260325,84,80.68633098942608
43.17068559253936,95.44230071032409,20.30167801246153,74,18.633827288602408
50.12650876412595,47.83063477738226,96.49264211196986,92,56.991753131200326
58.38471054046998,49.80038628362965,45.196463619109394,74,19.648657902287482
102.40365997416649,71.00002027613775,11.285215303149371,92,43.09939836534987
51.15649582041743,109.93551120841087,57.15381891028166,92,37.35581858713819
54.958224411115204,21.302772169679248,51.28196785230582,92,62.00083572011309
71.37249489432594,83.01500625033742,16.789138322219536,74,26.98459006774196
73.82454669598268,63.08822970799088,59.133153575971,74,38.58693095794693
1.4855045381740721,105.00739943543951,33.9522553073204,74,49.05608691378944
43.36403405014402,53.050136383951,7.724265836987303,46,115.89084823914659
58.81373109705201,114.67436400851238,115.1529541587822,46,104.75136388202878
81.10664240392255,90.90206996426033,56.19629370308908,46,101.9248502182807
136.37891167168584,62.39354823652486,52.222529853067044,46,29.61354987969936
52.50313341820232,24.397636252317376,91.27476695946083,46,27.97298155363002
52.04169262449926,111.71563484425755,85.32511538300804,46,40.31293760700925
48.64438655921607,59.9174364261043,72.50849183399833,35,106.18152803480262
104.97141241343506,93.02818605861668,13.21580620565069,46,80.64743278891429
29.224202469434875,99.50027237438931,11.565704001341338,46,55.26420861181903
22.703673084592133,75.55896095648919,-0.9267359044950392,46,25.013014307285523
80.5569442895367,69.57112858615808,109.96822951384539,46,119.31054069064227
73.00453172987294,81.5447716874405,45.64941938285827,46,45.22291412971549
124.66917497663158,44.53665952129984,45.16963144444414,46,42.28212755392475
100.06437304960541,35.87597832589235,65.86681413004115,46,85.93182297857379
101.03138808558529,48.6710815527422,107.86449955185302,46,91.1178191115927
96.73602372698925,144.77411686988364,66.69781817757558,46,85.25842867916958
54.547381455318984,55.75937238061579,36.03778810579726,46,87.7201481026335
2.923422441916521,54.50299331331492,28.35987643502113,46,17.71816853942926
102.41173058633711,110.62279219412616,16.20535355783462,46,24.625704950316035
18.093530141334963,69.55084923264545,47.102661502238846,46,42.85235450497544
47.72133898078956,49.40806169479003,55.480802249847386,46,121.25651926468109
88.2583414439828,53.2780150539959,70.83284046107757,46,93.35667314587117
54.4427052460554,116.791252075029,59.48685196917328,46,83.34108896895684
78.42600866053023,59.95169247770751,62.97112559119056,46,82.97276816865445
50.956715470924394,80.22107929765303,61.99511818747385,46,71.22036764920261
68.95530945430058,103.72844358774927,53.130339838999404,46,38.10836748548127
75.41812707379448,87.24727816429913,40.93421269284189,34,54.785070464156504
60.78739654559315,80.78244729468044,53.62059155766654,34,58.27333192240344
89.97578008462281,83.80478021706952,89.14703472664687,34,63.389393298456326
90.75728315991701,87.48360188760209,128.3935869707266,34,127.48491928488241
71.47906071309822,73.17387995728086,75.46867733240715,34,37.32861571075772
67.07037573841117,1.3814667144126238,36.86868617911669,34,36.674591526894595
43.666400148176955,50.13529865295717,35.80038952899617,34,70.3649100357965
59.70414357285668,98.68403573830615,68.74260876291831,34,47.62961541851437
53.14284390068799,62.591714822609674,61.38608807946294,34,95.49868166821567
13.563999687385946,112.8358200940368,97.01497464253359,50,42.67790374567142
