IpwEpsGreedy,RandomAction,opt_policy
3637.6833186498616,3389.89739399133,82
3693.043784455506,2953.0011004063495,84
3889.2057409537224,3102.492132755942,84
3310.9612527192703,2692.122261071788,82
3891.0521471603906,3164.5718446689743,84
3519.138751382308,3049.1914806150544,84
3548.551894061501,3195.2721544419915,82
3800.3674807268258,3009.1446814352053,82
3611.861523037326,3187.5156337912717,9
3873.012280528483,2806.964749789407,82
3519.851691712777,2558.878288655671,82
3204.197329340391,2804.9893805724937,57
3616.370211699795,3251.0216499181033,9
4102.376593139373,3039.54813804748,9
3425.625654537726,2728.915327425371,9
3844.0538212395777,3145.986506734496,84
3668.551492427491,2643.1774179212257,84
3565.020132872729,3219.0995380084414,9
3890.678593049617,3130.0153225837403,9
3329.770915636442,2668.5501294763317,57
3630.282084751299,2969.455310089725,9
3453.110451724281,2837.9547115654477,84
3704.9720432254794,3504.064045067323,9
3831.386573778137,3127.0229397221406,84
3737.590584053438,2658.1290243512676,84
3932.168570921885,3190.7399768005457,84
3519.4778718822854,2511.863144020363,84
3603.4685840208354,2764.9368820354366,84
3149.108094389506,2824.8831159089514,82
3538.2880858190174,2570.8403530361466,84
3905.602581973838,2872.5056667645763,84
3419.333003471135,3105.7291461860727,84
3867.8120775413145,2525.0949589834195,57
3287.8471748025554,2515.585466516794,84
3372.9430892371347,3209.901710968874,82
3716.8270585103,3104.7803253832194,82
3345.5997920455093,3044.059693711761,82
3548.535307480957,2994.983598003024,57
3681.3236420755193,2952.6442088842155,82
3452.0384591588386,2811.3916160871217,84
3120.889867987251,2886.9828240048428,84
3437.9445409344676,3010.9326594899935,84
3683.6591568890917,2757.5723795472613,84
3895.657341419266,3225.717117034762,9
3370.380891406831,2875.69040990049,9
3935.6833590861625,3098.366309828741,84
3718.894757031714,3096.210507701249,84
3448.722975941204,2677.518346546032,84
3607.5667617598756,3220.9566514414128,9
3625.667857232173,2779.1160933077713,84
3424.1024447907243,2655.0524634912517,9
3285.0016899273646,2388.1882534972665,84
4020.5418165267706,3119.153704759813,84
3923.2345870205786,2741.1838817625317,84
3787.581765527391,3304.2253021486677,84
3532.420917685982,2998.3908154101387,84
3463.17519464081,3090.7676837775907,84
3511.1907368645884,2750.6937007114257,84
3719.4822777267786,2778.567210049467,84
4160.225432556469,3059.5723671476308,84
3626.832395037336,3074.5520111601745,57
4052.0987355091365,2767.561923525407,84
3859.0118539408186,3091.8249869358892,57
3706.4708735210984,3052.9418385323233,17
3145.596947501473,2830.8961109241277,17
3673.625709948475,2986.5164893010797,84
3474.2140118250213,3055.3743563515654,17
3682.0321085847104,3031.8974958256613,82
3577.5186152588344,2975.3357726020226,82
3771.31693040169,2896.5361955426283,82
3113.3611638357843,2834.0174787664077,82
3638.136540253705,2785.721140613621,84
3457.465640463854,2584.8689897529975,84
3241.951932216385,2732.4416573190715,84
3467.4377799297968,2945.0000925097056,13
3362.384722155805,2887.8461841712337,13
3263.393395268437,2891.314500844954,13
3334.1852787664734,2786.8860212083,13
3436.2443236335243,2848.7820591615064,9
3732.609973276141,3242.49697421222,9
3599.758768697373,2674.133056315052,13
3766.7033332023498,2837.5663870601197,84
3334.0045121751846,2818.547883934445,13
3718.230560080334,2848.157825321786,9
3660.489681877591,2927.6323866944176,9
3555.8673241951255,3147.0824505125556,9
3661.974542441579,3091.51211573036,9
3508.9185211902527,2796.499660741264,9
3444.8275506442046,3081.486209322081,9
3907.7280289773653,3042.9923654644604,84
