IpwEpsGreedy,PolicyScreeningEpsGreedy,IpwBootTS,PolicyScreeningBootTS
743.5962075772734,762.2252046497553,978.9617673007908,1091.5587852644285
905.3178668688741,684.3214969544612,889.6158392951965,1077.7730619263345
952.6303442063115,874.3719894296344,1009.7225709566156,880.5096678877266
1052.695615888602,762.8629791599786,1047.5021193549799,748.3754152663072
951.4959491778745,815.1720392640578,1055.6339023341166,694.2659480582577
894.4887067345059,890.9532795082105,918.0579448024469,933.7616908876752
986.1926743959042,814.2851671295931,935.5953310380143,784.6575002367961
1046.4278238408292,974.2187376925822,962.1232813067769,878.6323503916178
1040.1715208575354,957.8983541546967,918.9189159927547,723.9517761064901
922.8989179885652,870.1683549100387,933.4913161777752,839.2373779016243
1107.1265244446035,834.7963988696721,806.0299135323044,792.9692353750927
930.7128739357839,824.6202745519487,736.317549568656,688.8013113130305
888.1332717583207,740.3774094619893,954.3859347691315,844.5084240145022
972.8852193746407,784.2266851486652,975.2174087912483,725.9753416270224
