IpwEpsGreedy,PolicyScreeningEpsGreedy,IpwBootTS,PolicyScreeningBootTS,MonotoneTreeBootTS,RandomAction,optimal
7.920700351765854,6.787543560060226,8.353222085902464,7.019305080069915,7.028906017775775,6.416419426247355,7.930968270487008
8.543741730743598,7.769658693518197,7.9783457859295455,8.811834476397248,6.824808049773485,6.181455189074194,7.822776098071675
7.631366773829485,5.203491769116965,8.566084771243943,7.381055698533216,6.937772492800223,7.148252451270123,6.944796467348073
8.19105801059693,7.005173390475355,8.733024658226245,6.0281623431664215,7.176759257539804,7.250230263238575,8.28253387078642
8.423177822662232,7.196620292795816,8.052647732120361,7.7436208141,7.015024034426737,7.356400170916141,6.811528522735979
8.745268640076592,7.591017101781006,8.679889342960784,7.895416545606138,6.647480625329448,7.065543532303588,7.291080972241049
8.853750416589971,7.361736239634182,9.225228544047644,7.524143948224061,7.5169360685107165,7.591840620727888,7.341493956959841
9.543842201838034,7.271635912088674,8.15328704720575,7.838760709636594,6.759974906005513,7.606282780735359,7.415933359824678
9.186488112232619,7.7619782843251155,8.336029129174602,7.8364675981270695,7.5723223488805775,8.458333936547268,6.4951750007481674
9.771869591752084,8.076984714013058,6.402986885153623,8.706366012345988,7.024182300166379,7.875957568440927,8.053457627541167
